2023-04-04 10:14:56,689 [main][] INFO  m.s.s.SYSApplication Starting SYSApplication using Java 1.8.0_102 on songwe with PID 12540 (D:\WorkSpace\wrokspace-spring\service-admin\service-sys\target\classes started by 13965 in D:\WorkSpace\wrokspace-spring\service-admin) 
2023-04-04 10:14:56,692 [main][] INFO  m.s.s.SYSApplication No active profile set, falling back to default profiles: default 
2023-04-04 10:14:57,111 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode! 
2023-04-04 10:14:57,113 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
2023-04-04 10:14:57,136 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces. 
2023-04-04 10:14:57,261 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'shiroConfig' of type [me.song.sys.shiro.config.ShiroConfig$$EnhancerBySpringCGLIB$$84596400] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-04-04 10:14:57,304 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'redis.lock-me.song.sys.redisson.property.RedisProperties' of type [me.song.sys.redisson.property.RedisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-04-04 10:14:57,304 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'redissonConfig' of type [me.song.sys.redisson.config.RedissonConfig$$EnhancerBySpringCGLIB$$6640818a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-04-04 10:14:57,330 [main][] INFO  m.s.s.r.s.i.StandaloneConfigImpl 初始化[单机部署]方式Config,redisAddress:127.0.0.1:6379 
2023-04-04 10:14:57,407 [main][] INFO  o.r.Version Redisson 3.5.4 
2023-04-04 10:14:57,824 [redisson-netty-1-1][] INFO  o.r.c.p.MasterPubSubConnectionPool 1 connections initialized for /127.0.0.1:6379 
2023-04-04 10:14:57,824 [redisson-netty-1-28][] INFO  o.r.c.p.MasterConnectionPool 10 connections initialized for /127.0.0.1:6379 
2023-04-04 10:14:57,827 [main][] INFO  m.s.s.r.c.RedissonConfig [RedisManager]装配完成，当前连接方式:standalone,连接地址:127.0.0.1:6379 
2023-04-04 10:14:57,828 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'redissonManager' of type [me.song.sys.redisson.RedissonManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
