2023-03-28 10:05:03,446 [main][] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper Neither @ContextConfiguration nor @ContextHierarchy found for test class [me.song.sys.mq.MQTest], using SpringBootContextLoader 
2023-03-28 10:05:03,454 [main][] INFO  o.s.t.c.s.AbstractContextLoader Could not detect default resource locations for test class [me.song.sys.mq.MQTest]: no resource found for suffixes {-context.xml, Context.groovy}. 
2023-03-28 10:05:03,603 [main][] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
2023-03-28 10:05:03,623 [main][] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6cc4cdb9, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@28194a50, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@7f2cfe3f, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1a5b6f42, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5038d0b5, org.springframework.test.context.transaction.TransactionalTestExecutionListener@32115b28, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2ad48653, org.springframework.test.context.event.EventPublishingTestExecutionListener@6bb4dd34, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7d9f158f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@45efd90f, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4b8729ff, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@61710c6, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3214ee6, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@383dc82c] 
2023-03-28 10:05:03,912 [main][] INFO  m.s.s.mq.MQTest Starting MQTest using Java 1.8.0_102 on songwe with PID 18784 (started by 13965 in D:\WorkSpace\wrokspace-spring\service-admin\service-sys) 
2023-03-28 10:05:03,913 [main][] INFO  m.s.s.mq.MQTest No active profile set, falling back to default profiles: default 
2023-03-28 10:05:04,624 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Multiple Spring Data modules found, entering strict repository configuration mode! 
2023-03-28 10:05:04,628 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
2023-03-28 10:05:04,656 [main][] INFO  o.s.d.r.c.RepositoryConfigurationDelegate Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces. 
2023-03-28 10:05:05,239 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@3ddb774f' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2023-03-28 10:05:05,251 [main][] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
